channel_name,category,sub_category,customer_remarks,tenure_bucket,agent_shift,csat_score,response_minutes,retention_label
Outcall,Product Queries,Life Insurance,,On Job Training,Morning,5,34,1
Outcall,Product Queries,Product Specific Information,,>90,Morning,5,2,1
Inbound,Order Related,Installation/demo,,On Job Training,Evening,5,22,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Evening,5,20,1
Inbound,Cancellation,Not Needed,,0-30,Morning,5,2,1
Email,Returns,Fraudulent User,,0-30,Morning,5,206,1
Outcall,Product Queries,Product Specific Information,,>90,Morning,5,501,1
Inbound,Returns,Exchange / Replacement,Very good,On Job Training,Evening,5,6,1
Inbound,Returns,Missing,Shopzilla app and it's all coustomer care services is very good service provided all time,>90,Split,5,4,1
Inbound,Shopzilla Related,General Enquiry,,31-60,Evening,5,5,1
Outcall,Returns,Return request,,0-30,Evening,4,2,1
Inbound,Order Related,Delayed,Very bad,>90,Split,1,30,0
Inbound,Shopzilla Related,General Enquiry,,On Job Training,Morning,4,3,1
Inbound,Shopzilla Related,General Enquiry,,>90,Morning,4,66,1
Inbound,Returns,Reverse Pickup Enquiry,,0-30,Morning,5,18,1
Inbound,Returns,Missing,,>90,Afternoon,5,10,1
Inbound,Returns,Service Centres Related,,0-30,Morning,5,2,1
Inbound,Order Related,Installation/demo,Something,On Job Training,Morning,3,4,
Inbound,Cancellation,Not Needed,,31-60,Evening,5,2,1
Inbound,Order Related,Installation/demo,All good,31-60,Evening,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Evening,5,28,1
Inbound,Returns,Return request,Good,61-90,Evening,5,15,1
Outcall,Returns,Return request,,0-30,Afternoon,4,2,1
Inbound,Payments related,Payment related Queries,Godd job,>90,Afternoon,5,2,1
Inbound,Returns,Reverse Pickup Enquiry,,31-60,Morning,5,2,1
Inbound,Order Related,Order status enquiry,Issue not resolved pathetic service,On Job Training,Morning,1,3,0
Inbound,Order Related,Delayed,,31-60,Morning,5,3,1
Inbound,Returns,Fraudulent User,Excellent,31-60,Evening,5,1,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,4,1,1
Inbound,Cancellation,Return cancellation,Very good,>90,Evening,4,300,1
Inbound,Returns,Reverse Pickup Enquiry,Give proper guidance to the customer,>90,Evening,5,1,1
Inbound,Order Related,Unable to track,Please highlight if the products cannot be returned.,On Job Training,Evening,1,52,0
Outcall,Returns,Reverse Pickup Enquiry,3000 rupees loss,On Job Training,Morning,1,236,0
Outcall,Order Related,Installation/demo,Please don't sale any destroy product or cheep product more price.,0-30,Morning,5,4,1
Inbound,Returns,Reverse Pickup Enquiry,,On Job Training,Morning,4,284,1
Inbound,Returns,Reverse Pickup Enquiry,,>90,Afternoon,5,2,1
Outcall,Returns,Exchange / Replacement,,>90,Morning,5,3,1
Inbound,Order Related,Order status enquiry,I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.,0-30,Evening,3,11,
Outcall,Returns,Reverse Pickup Enquiry,,>90,Morning,5,0,1
Inbound,Order Related,Installation/demo,No comments,>90,Morning,5,4,1
Inbound,Order Related,Seller Cancelled Order,,>90,Morning,5,6,1
Inbound,Order Related,Order status enquiry,,On Job Training,Evening,3,74,
Inbound,Returns,Reverse Pickup Enquiry,good ????,>90,Split,5,2,1
Inbound,Returns,Wrong,customer service number plz available,>90,Split,5,156,1
Inbound,Order Related,Order status enquiry,,>90,Split,5,44682,
Inbound,Order Related,Order status enquiry,,>90,Morning,5,1,1
Inbound,Returns,Return request,Good,>90,Morning,5,7,1
Inbound,Returns,Service Centres Related,,61-90,Evening,4,2,1
Inbound,Order Related,Order status enquiry,Respectful,On Job Training,Evening,5,1,1
Inbound,Product Queries,Product Specific Information,Very nice good,61-90,Afternoon,5,1,1
Inbound,Returns,Service Centres Related,Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue,>90,Morning,3,106,
Inbound,Returns,Reverse Pickup Enquiry,,>90,Morning,5,81,1
Inbound,Returns,Fraudulent User,,On Job Training,Evening,5,0,1
Outcall,Returns,Fraudulent User,Thanks,>90,Split,5,102,1
Inbound,Order Related,Invoice request,,>90,Morning,5,4,1
Outcall,Returns,Return request,,0-30,Afternoon,5,57,1
Inbound,Order Related,Delayed,Try to deliver the product on time,>90,Evening,5,5,1
Outcall,Returns,Return request,,0-30,Evening,5,3,1
Outcall,Returns,Wrong,Nice conversation good I will give rating for ?????,0-30,Morning,5,11,1
