issue_category,customer_sentiment,issue_complexity,agent_experience_level,agent_politeness,agent_empathy,agent_professionalism,communication_clarity,apology_present,patience_present,active_listening_present,deescalation_present,helpfulness,customer_tone_observed,outcome_quality,retention_label
Pickup and Shipping,neutral,less,junior,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Mobile Number and Email Verification,neutral,medium,junior,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Replacement and Return Process,neutral,medium,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Login Issues and Error Messages,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,medium,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,not_retained
Account Reactivation and Deactivation,negative,medium,junior,high,present,medium,high,1,1,1,1,high,negative,resolved,retained
Cash on Delivery (CoD) Refunds,frustrated,medium,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Product Availability and Status,neutral,less,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Product Installation,negative,medium,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Mobile Number and Email Verification,negative,less,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Lost or Missing Warranty Card,neutral,high,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Cancellation,neutral,less,experienced,high,present,high,high,0,1,1,0,high,neutral,resolved,retained
Order Delivery Issues,negative,high,experienced,high,present,high,high,1,1,1,1,high,negative,partially_resolved,uncertain
Return and Exchange,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Replacement and Return Process,neutral,medium,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,frustrated,medium,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Invoice and Payment,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Start Date of Warranty,neutral,less,experienced,high,present,high,high,0,0,1,0,high,neutral,resolved,retained
Start Date of Warranty,neutral,less,junior,high,present,high,high,0,0,1,0,high,neutral,resolved,retained
Return and Exchange,negative,medium,junior,medium,present,medium,high,1,0,1,1,medium,negative,resolved,retained
Order Delivery Issues,negative,medium,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,uncertain
Account and Shopping,neutral,medium,junior,high,present,medium,high,0,1,1,0,high,neutral,resolved,retained
Miscellaneous,negative,medium,junior,medium,present,medium,medium,1,1,1,0,medium,negative,partially_resolved,not_retained
Login Issues and Error Messages,neutral,less,inexperienced,high,present,medium,high,1,1,1,1,high,neutral,resolved,retained
Accessing Warranty Details,neutral,high,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Return and Exchange,neutral,high,experienced,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,less,inexperienced,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Mobile Number and Email Verification,neutral,medium,experienced,high,present,high,high,1,1,1,0,high,neutral,resolved,retained
Pickup and Shipping,negative,less,experienced,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Availability of Faster Delivery Options,negative,less,junior,high,present,high,high,1,1,1,1,high,negative,resolved,retained
Mobile Number and Email Verification,neutral,less,junior,high,present,high,high,1,1,1,1,high,neutral,resolved,retained
Order Delivery Issues,negative,high,junior,medium,present,medium,medium,1,1,1,1,medium,negative,partially_resolved,not_retained
Returns and Refunds,negative,medium,junior,high,present,medium,high,1,1,1,1,medium,negative,partially_resolved,uncertain
